	genre	measure	category	interpretability
0	blanche	Welch	0.47916666666666663	0.5454545454545454
1	blanche	LLR	0.20138888888888884	0.26127527216174184
2	blanche	Zeta	0.2896174863387977	0.23599320882852304
3	scifi	Welch	0.3200582807187955	0.6287128712871287
4	scifi	LLR	0.1784037558685445	0.19580419580419584
5	scifi	Zeta	0.2803970223325062	0.22096317280453248
6	policier	Welch	0.7249724972497249	0.6758508914100486
7	policier	LLR	0.6103896103896104	0.6
8	policier	Zeta	0.5566502463054188	0.18604651162790697
9	sentimental	Welch	0.24206537186167687	0.4067796610169492
10	sentimental	LLR	0.06201146430432525	0.053452115812917644
11	sentimental	Zeta	0.036201222378937636	0.0


